OF_ratio,temperature_K,pressure_Pa,P,CV,CP,T,M_avg,rho
0.1,273.3,1.0,1.0000000000010851,2027.8555665937336,2210.721284881225,531.854294387741,45.46758515492599,1.0281939249902611e-05
0.1,273.3,501.0,501.0000000001004,2148.9858337098462,2326.884752283797,572.4490521631399,46.737004838492105,0.004919574901526638
0.1,273.3,1001.0,1001.0000000002176,2156.521655728091,2333.99520071057,575.1159915085352,46.849025408119765,0.009807199492253876
0.1,273.3,1501.0,1501.0000000002976,2160.5489151824017,2337.772530696491,576.5620761995459,46.9150942104116,0.01468970339898751
0.1,273.3,2001.0,2001.0000000003738,2163.274815690399,2340.318267241884,577.5508571288809,46.962836215014484,0.019569376468819413
0.1,273.3,2501.0,2501.0000000005475,2165.3296313244277,2342.2308074910175,578.3020671053189,47.00060676998218,0.024447149404275142
0.1,273.3,3001.0,3001.0000000005757,2166.977599496541,2343.7604525256793,578.9083680991206,47.03206490723861,0.029323515118118697
0.1,273.3,3501.0,3501.0000000005916,2168.3535144018547,2345.0346343229135,579.4172615346225,47.0591460019505,0.03419877407116997
0.1,273.3,4001.0,4001.000000386566,2169.5350789835375,2346.1266815074146,579.85624743785,47.08300111285888,0.03907312647060006
0.1,273.3,4501.0,4501.000000632932,2170.5710220726082,2347.082505407079,580.2426377344627,47.10437225434336,0.043946714230116854
0.1,273.3,5001.0,5001.000000974853,2171.493850823215,2347.9326880750446,580.5880215379547,47.12376678319449,0.04881964265185354
0.1,273.3,5501.0,5501.000001429787,2172.3263032159184,2348.6985914369243,580.9005310783206,47.14154758674269,0.05369199265930714
0.1,273.3,6001.0,6001.000002019867,2173.084892000041,2349.395708980656,581.186089595734,47.15798361405927,0.0585638281997684
0.1,273.3,6501.0,6501.000002763868,2173.7819799397716,2350.0356264017237,581.4491438965696,47.173280014652555,0.063435200963447
0.1,273.3,7001.0,7001.000003685584,2174.4270592624653,2350.6272292179833,581.6931170488292,47.18759703950477,0.06830615352501289
0.1,273.3,7501.0,7501.000000001436,2175.0275746878533,2351.1774788639354,581.9207001886114,47.201062396502785,0.07317672146950005
0.1,273.3,8001.0,8001.00000000014,2175.589471667395,2351.691929238167,582.1340474751436,47.21377959652736,0.07804693508284058
0.1,273.3,8501.0,8501.000000000084,2176.117573501595,2352.175081667218,582.334910145467,47.22583379023835,0.08291682026251576
0.1,273.3,9001.0,9001.00000000023,2176.615846740071,2352.6306345604867,582.5247313198151,47.23729591763798,0.08778639948512668
